timestamp,open,high,low,close,volume
2024-01-01 00:00:00,1.1000,1.1010,1.0990,1.1005,1000
2024-01-01 00:05:00,1.1005,1.1015,1.0995,1.1010,1100
2024-01-01 00:10:00,1.1010,1.1020,1.1000,1.1008,950
2024-01-01 00:15:00,1.1008,1.1018,1.0998,1.1002,1050
2024-01-01 00:20:00,1.1002,1.1012,1.0992,1.1005,1200
2024-01-01 00:25:00,1.1005,1.1015,1.0995,1.1012,1150
2024-01-01 00:30:00,1.1012,1.1022,1.1002,1.1009,980
2024-01-01 00:35:00,1.1009,1.1019,1.0999,1.1003,1020
2024-01-01 00:40:00,1.1003,1.1013,1.0993,1.1006,1080
2024-01-01 00:45:00,1.1006,1.1016,1.0996,1.1011,1120
2024-01-01 00:50:00,1.1011,1.1021,1.1001,1.1007,990
2024-01-01 00:55:00,1.1007,1.1017,1.0997,1.1004,1030
2024-01-01 01:00:00,1.1004,1.1014,1.0994,1.1008,1070
2024-01-01 01:05:00,1.1008,1.1018,1.0998,1.1013,1130
2024-01-01 01:10:00,1.1013,1.1023,1.1003,1.1009,970
2024-01-01 01:15:00,1.1009,1.1019,1.0999,1.1005,1010
2024-01-01 01:20:00,1.1005,1.1015,1.0995,1.1010,1050
2024-01-01 01:25:00,1.1010,1.1020,1.1000,1.1006,1090
2024-01-01 01:30:00,1.1006,1.1016,1.0996,1.1011,1110
2024-01-01 01:35:00,1.1011,1.1021,1.1001,1.1007,960
